,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/nvidiagpu/0/throughput/0,/nvidiagpu/0/throughput/1,/hdd/0/temperature/0,/hdd/1/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","GPU PCIE Rx","GPU PCIE Tx","Temperature","Used Space"
05/06/2022 22:31:57,27.34375,39.84375,28.90625,38.28125,33.59375,68,70,67,68,70,3409.71655,3409.71655,3409.71655,3409.71655,30.0259476,16.84798,0.6426928,2.86559963,100.285782,16.4107666,5.23236847,26.6513977,54,139,405.000031,278,34,12,0,12,4096,131.828125,3964.17188,3.21846,208.984375,830.0781,29,11.9908752
05/06/2022 22:31:58,10.15625,6.25,5.46875,16.40625,9.5703125,65,64,61,61,65,3409.71558,3409.71558,3409.71558,3409.71558,20.3432121,7.965596,0.4458386,2.18097758,100.285751,16.39846,5.228447,26.65532,54,139,405.000031,278,19,2,0,13,4096,131.828125,3964.17188,3.21846,2.9296875,500.976563,29,11.9908752
05/06/2022 22:31:59,8.59375,10.15625,10.9375,17.96875,11.9140625,69,69,65,66,69,1604.57214,2808.00122,3409.71582,3409.71582,21.6183071,9.238898,0.4857483,2.17594457,100.285759,16.9122086,5.39225,26.4915161,54,139,405.000031,278,18,2,0,12,4096,131.828125,3964.17188,3.21846,1.953125,403.3203,29,11.9908752
05/06/2022 22:32:00,27.34375,29.6875,24.21875,36.71875,29.4921875,64,65,62,62,66,3409.717,3409.717,3409.717,3409.717,22.7821484,9.164666,1.41089284,2.58299565,100.2858,17.0531769,5.437195,26.4465714,54,139,405.000031,278,19,2,0,13,4096,131.828125,3964.17188,3.21846,2.9296875,806.6406,29,11.9908752
05/06/2022 22:32:01,7.8125,12.5,3.125,14.0625,9.375,61,63,61,60,63,3309.4292,3309.4292,3309.4292,3309.4292,18.5367012,6.22678041,0.462059021,2.060372,100.285736,17.05349,5.437294,26.4464722,54,139,405.000031,278,19,2,0,14,4096,131.828125,3964.17188,3.21846,0.9765625,592.773438,29,11.9908752
05/06/2022 22:32:02,4.6875,4.6875,6.25,16.40625,8.0078125,61,65,62,61,65,3409.71753,3209.146,2607.43115,2005.71619,16.1477413,3.82395649,0.536530852,1.8828578,100.285812,17.0447311,5.43450165,26.4492645,54,139,405.000031,278,11,1,0,6,4096,129.328125,3966.67188,3.157425,1.953125,403.3203,29,11.9908752
05/06/2022 22:32:03,13.28125,25.78125,14.84375,23.4375,19.3359375,69,71,71,68,71,3409.71582,3409.71582,3409.71582,3409.71582,26.971817,13.4656639,1.36439657,2.58250546,100.285759,17.0589752,5.439045,26.4447212,54,139,405.000031,278,19,2,0,13,4096,125.328125,3970.67188,3.05976868,2.9296875,806.6406,29,11.9908752
05/06/2022 22:32:04,27.34375,30.46875,15.625,18.75,23.046875,70,70,65,64,70,3409.71631,3409.71631,3409.71631,3409.71631,26.7341328,12.1471281,2.21901751,2.87895751,100.285774,17.0839233,5.4469986,26.4367676,54,139,405.000031,278,19,2,0,13,4096,125.328125,3970.67188,3.05976868,1.953125,804.6875,29,11.9908752
05/06/2022 22:32:05,20.3125,23.4375,19.53125,18.75,20.5078125,71,74,70,71,74,3409.71533,3409.71533,3409.71533,3510.001,27.6196423,13.5667677,1.79634571,2.74145269,100.285744,16.9406967,5.401333,26.4824333,54,139,405.000031,278,17,2,0,12,4096,125.328125,3970.67188,3.05976868,0.9765625,530.273438,29,11.9908752
05/06/2022 22:32:06,32.03125,48.4375,24.21875,28.90625,33.3984375,64,65,62,62,65,1704.85815,2507.14429,2908.28735,902.57196,26.35528,13.0388746,1.10017383,2.56668568,100.285774,16.9595184,5.40733337,26.4764328,54,139,405.000031,278,31,10,0,12,4096,128.078125,3967.92188,3.12690735,210.9375,809.5703,29,11.9908752
05/06/2022 22:32:07,54.6875,56.25,47.65625,45.3125,50.9765625,62,64,62,61,65,1604.57214,2406.8584,902.571838,1303.71484,19.6057625,6.522369,0.806082666,2.7268188,100.285759,16.46524,5.249737,26.63403,54,139,405.000031,278,30,10,0,11,4096,131.828125,3964.17188,3.21846,250,814.4531,29,11.9908752
05/06/2022 22:32:08,39.84375,42.1875,35.15625,35.9375,38.28125,59,62,60,59,62,1203.429,1203.429,1604.572,1604.572,16.53581,4.0596385,0.409353733,2.3742516,100.285751,16.4685745,5.250801,26.6329651,54,139,405.000031,278,19,2,0,13,4096,131.828125,3964.17188,3.21846,0.9765625,806.6406,29,11.9908752
05/06/2022 22:32:09,7.8125,8.59375,6.25,17.96875,10.15625,62,64,61,61,64,3108.8606,3108.8606,3409.718,3409.718,18.5256767,6.20879745,0.3621884,2.017924,100.285828,16.2866669,5.19280243,26.6909637,54,139,405.000031,278,20,2,0,13,4096,131.828125,3964.17188,3.21846,0.9765625,805.664063,29,11.9908752
05/06/2022 22:32:10,9.375,6.25,7.03125,12.5,8.7890625,63,64,60,60,64,3209.14453,3209.14453,3209.14453,3209.14453,17.48779,5.468539,0.2976925,1.86210012,100.285767,16.2636032,5.18544769,26.6983185,54,139,405.000031,278,13,1,0,9,4096,131.828125,3964.17188,3.21846,1.953125,0,29,11.9908752
05/06/2022 22:32:11,17.1875,17.96875,10.9375,16.40625,15.625,72,68,64,66,72,3510.0022,3409.71655,3409.71655,3409.71655,20.6660423,8.24389,0.5251491,2.12843251,100.285774,15.9376221,5.08151627,26.80225,54,139,405.000031,278,18,2,0,12,4096,131.828125,3964.17188,3.21846,0.9765625,806.6406,29,11.9908752
05/06/2022 22:32:12,10.15625,7.03125,9.375,18.75,11.328125,62,63,60,61,63,3309.43,3309.43,3309.43,3309.43,19.0760078,6.844898,0.3354451,2.02891254,100.285759,15.8764725,5.06201935,26.8217468,54,139,405.000031,278,19,2,0,13,4096,131.828125,3964.17188,3.21846,1.953125,806.6406,29,11.9908752
