,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/hdd/0/temperature/0,/hdd/0/load/0,/hdd/1/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","Temperature","Used Space","Used Space"
08/12/2023 00:00:36,24.915863,15.5408621,12.46394,21.09375,18.5036068,59,64,61,60,67,3509.99731,3409.71167,3409.71167,3409.71167,13.7750483,11.288662,0.227464974,1.7615478,100.285637,35.83422,11.4364967,20.4785156,0,139,405.000031,278,0,0,0,0,4096,75,4021,1.83105469,47,12.5445709,87.60485
08/12/2023 00:00:37,21.2053528,10.9747047,13.2936478,13.34325,14.7042456,58,59,58,57,59,3409.71216,3509.9978,3409.71216,3409.71216,10.5342093,8.254545,0.128452152,1.51518154,100.285652,35.77755,11.4184074,20.4966049,0,139,405.000031,278,0,0,0,0,4096,75,4021,1.83105469,47,12.5445709,87.60485
08/12/2023 00:00:38,15.5528841,13.2211571,16.3581734,9.326923,13.6147861,58,60,57,57,59,3409.712,3409.712,3409.712,3409.712,10.1837606,7.655122,0.380938351,1.51904309,100.285645,35.75267,11.4104691,20.5045433,0,139,405.000031,278,0,0,0,0,4096,75,4021,1.83105469,47,12.5445709,87.60485
08/12/2023 00:00:39,16.40625,23.4375,15.625,17.1875,18.1640625,61,63,60,60,64,3409.71143,3409.71143,3409.71143,3509.997,14.56718,12.0376177,0.255486339,1.82521224,100.285629,35.7748566,11.4175491,20.4974632,0,139,405.000031,278,0,0,0,0,4096,75,4021,1.83105469,47,12.5445709,87.60485
08/12/2023 00:00:40,28.125,20.3125,22.7306538,25,24.04204,60,65,60,59,65,3409.71216,3409.71216,3509.9978,3409.71216,14.1993856,11.74059,0.209582269,1.75942075,100.285652,35.78501,11.4207916,20.49422,0,139,405.000031,278,0,0,0,0,4096,75,4021,1.83105469,47,12.5445709,87.60485
08/12/2023 00:00:41,25,14.84375,23.2932682,31.25,23.5967522,66,62,61,61,66,3409.7124,3409.7124,3409.7124,3409.7124,16.1334457,13.5304012,0.2686877,1.914528,100.28566,35.82704,11.4342041,20.4808083,0,139,405.000031,278,0,0,0,0,4096,75,4021,1.83105469,47,12.5445709,87.60485
08/12/2023 00:00:42,21.875,17.96875,25.78125,23.4375,22.265625,60,61,60,62,62,3409.712,3409.712,3409.712,3509.99756,15.4574194,12.832058,0.283493817,1.93489277,100.285645,35.8015366,11.4260635,20.4889488,0,139,405.000031,278,0,0,0,0,4096,75,4021,1.83105469,47,12.5445786,87.60452
08/12/2023 00:00:43,17.1875,17.1875,17.96875,17.1875,17.3828125,60,61,59,59,62,3409.71216,3409.71216,3409.71216,3409.71216,14.2555332,11.6953669,0.289576262,1.79871535,100.285652,35.80874,11.4283638,20.4866486,0,139,405.000031,278,0,0,0,0,4096,75,4021,1.83105469,47,12.5445786,87.60452
08/12/2023 00:00:44,32.03125,30.6547642,21.2053528,22.9166622,26.7020111,60,61,58,64,63,3509.9978,3409.71216,3509.9978,3509.9978,14.9243317,12.3407755,0.293092042,1.883456,100.285652,35.80684,11.4277573,20.4872551,0,139,405.000031,278,0,0,0,0,4096,75,4021,1.83105469,47,12.5445786,87.60452
08/12/2023 00:00:45,19.53125,17.9086571,20.1682682,17.7644253,18.8431511,59,60,58,58,60,3610.28271,3409.71143,3409.71143,3509.997,13.72741,11.1903248,0.264795423,1.77150667,100.285637,35.80639,11.4276123,20.4874,0,139,405.000031,278,0,0,0,0,4096,75,4021,1.83105469,47,12.5445786,87.60452
